ticker,date,direction,fvg_type,entry_price,stop_loss,target,exit_price,result,gross_pnl,net_pnl,risk_per_share,entry_time,exit_time
SPY,2026-02-09,long,bullish,690.7652,688.34,695.6155,695.2677,win,450.25,449.25,2.4252,2026-02-09 09:39:00-05:00,2026-02-09 12:03:00-05:00
SPY,2026-02-10,short,bearish,693.733,695.55,690.099,695.8978,loss,-216.48,-217.48,1.817,2026-02-10 09:38:00-05:00,2026-02-10 09:55:00-05:00
SPY,2026-02-11,short,bearish,694.0628,697.13,687.9283,692.7912,eod_close,127.15,126.15,3.0672,2026-02-11 09:58:00-05:00,2026-02-11 15:55:00-05:00
SPY,2026-02-12,long,bullish,695.2674,694.06,697.6823,693.713,loss,-155.45,-156.45,1.2074,2026-02-12 09:42:00-05:00,2026-02-12 09:44:00-05:00
SPY,2026-02-13,short,bearish,678.4206,682.51,670.2419,682.8513,loss,-443.06,-444.06,4.0894,2026-02-13 09:41:00-05:00,2026-02-13 09:48:00-05:00
QQQ,2026-02-09,long,bullish,609.6447,605.07,618.7941,614.4726,eod_close,482.79,481.79,4.5747,2026-02-09 09:41:00-05:00,2026-02-09 15:55:00-05:00
QQQ,2026-02-10,short,bearish,613.3032,616.14,607.6295,616.4481,loss,-314.49,-315.49,2.8368,2026-02-10 09:38:00-05:00,2026-02-10 10:06:00-05:00
QQQ,2026-02-11,short,bearish,613.9029,617.52,606.6687,613.7767,eod_close,12.62,11.62,3.6171,2026-02-11 09:58:00-05:00,2026-02-11 15:55:00-05:00
QQQ,2026-02-12,short,bearish,612.6535,615.4699,607.0208,607.3243,win,532.92,531.92,2.8164,2026-02-12 09:46:00-05:00,2026-02-12 10:57:00-05:00
QQQ,2026-02-13,short,bearish,597.1712,601.8,587.9137,602.1009,loss,-492.97,-493.97,4.6288,2026-02-13 09:41:00-05:00,2026-02-13 09:45:00-05:00
